SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,252,34066,1949,3061,1894,1834,1837,1864
0,255,253,34066,1930,3044,1899,1836,1838,1862
0,255,254,34066,1943,3059,1892,1835,1839,1862
0,255,255,34066,1949,3067,1892,1835,1837,1861
0,255,0,34066,1934,3073,1902,1834,1838,1862
0,255,1,34066,1926,3060,1902,1835,1839,1863
0,255,2,34066,1952,3051,1906,1835,1838,1862
0,255,3,34097,1939,3043,1910,1835,1838,1863
0,255,4,34128,1943,3060,1884,1835,1838,1862
0,255,5,34128,1942,3058,1912,1835,1838,1862
0,255,6,34159,1940,3053,1903,1834,1839,1863
0,255,7,34159,1937,3059,1890,1834,1838,1862
0,255,8,34190,1924,3073,1893,1835,1838,1862
0,255,9,34222,1938,3032,1881,1834,1838,1862
0,255,10,34222,1928,3058,1884,1834,1838,1861
0,255,11,34253,1944,3051,1909,1836,1838,1861
0,255,12,34284,1949,3073,1908,1834,1837,1862
0,255,13,34284,1934,3047,1910,1835,1837,1862
0,255,14,34315,1925,3067,1910,1835,1839,1862
0,255,16,34346,1931,3071,1891,1835,1838,1862
0,255,17,34362,1932,3062,1904,1834,1840,1862
0,255,18,34393,1930,3081,1901,1834,1838,1861
0,255,19,34409,1946,3051,1891,1836,1838,1863
0,255,20,34424,1937,3061,1899,1835,1837,1863
0,255,21,34456,1935,3067,1895,1835,1838,1862
0,255,22,34456,1921,3071,1880,1835,1839,1859
0,255,23,34487,1968,3058,1911,1834,1838,1862
0,255,24,34502,1926,3055,1913,1835,1840,1861
0,255,25,34534,1943,3043,1883,1835,1839,1862
0,255,26,34534,1921,3077,1894,1834,1839,1859
0,255,27,34565,1926,3056,1901,1836,1838,1862
0,255,28,34596,1942,3048,1906,1833,1837,1863
0,255,29,34612,1938,3061,1906,1835,1838,1862
0,255,30,34612,1930,3064,1902,1835,1839,1862
0,255,31,34643,1950,3049,1895,1835,1838,1862
0,255,32,34658,1927,3061,1902,1834,1839,1862
0,255,33,34674,1939,3062,1886,1834,1839,1863
0,255,34,34705,1940,3087,1894,1835,1838,1862
0,255,35,34736,1930,3049,1881,1835,1838,1863
0,255,36,34736,1932,3043,1883,1834,1838,1861
0,255,37,34768,1950,3064,1888,1835,1838,1863
0,255,38,34783,1955,3049,1910,1836,1839,1861
0,255,39,34783,1931,3045,1911,1834,1838,1861
0,255,40,34830,1931,3047,1914,1833,1837,1861
0,255,41,34830,1942,3047,1895,1835,1839,1863
0,255,42,34861,1940,3055,1894,1835,1838,1862
0,255,43,34861,1954,3072,1892,1835,1838,1863
0,255,44,34892,1941,3054,1909,1834,1838,1862
0,255,45,34924,1944,3064,1902,1835,1839,1863
0,255,46,34939,1947,3053,1895,1835,1840,1862
0,255,47,34970,1935,3057,1892,1835,1839,1863
0,255,48,34970,1941,3043,1904,1834,1839,1862
0,255,49,35002,1951,3067,1898,1835,1839,1863
0,255,50,35002,1944,3049,1888,1834,1838,1862
0,255,51,35033,1930,3051,1900,1835,1839,1862
0,255,52,35048,1951,3059,1895,1833,1837,1863
0,255,53,35080,1943,3069,1929,1835,1838,1862
0,255,54,35095,1955,3055,1916,1835,1839,1862
0,255,55,35126,1938,3059,1888,1833,1838,1861
