Axis,Minim[step],Maxim[step],Offset[step],"Sensitivity[m/s^2/step or °/sec/step"
X,894,2874,-159,0.009906
Y,1120,3114,65,0.009836
Z,879,2749,-217,0.010488
GX,0,0,-259,0.244141
GY,0,0,-232,0.244141
GZ,0,0,-242,0.244141
