Axis,Minim[step],Maxim[step],Offset[step],"Sensitivity[m/s^2/step or °/sec/step"
X,924,2888,-134,0.009986
Y,1081,3030,-1,0.010063
Z,836,2770,-229,0.010141
GX,0,0,-251,0.244141
GY,0,0,-245,0.244141
GZ,0,0,-220,0.244141
