Axis,Minim[step],Maxim[step],Offset[step],"Sensitivity[m/s^2/step or °/sec/step"
X,893,2871,-159,0.009916
Y,1120,3115,68,0.009831
Z,879,2743,-233,0.010522
GX,0,0,-254,0.244141
GY,0,0,-225,0.244141
GZ,0,0,-247,0.244141
