SensorID,DataType,SeqNo,TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,255,103,26771,1894,2122,2763,1833,1838,1846
0,255,104,26771,1914,2125,2758,1834,1837,1845
0,255,105,26771,1904,2119,2763,1835,1838,1846
0,255,106,26771,1916,2099,2759,1833,1836,1846
0,255,107,26771,1913,2118,2775,1834,1837,1845
0,255,108,26771,1907,2125,2745,1835,1839,1846
0,255,109,26787,1936,2139,2766,1834,1837,1846
0,255,110,26818,1898,2112,2787,1833,1838,1846
0,255,111,26818,1897,2133,2753,1834,1840,1846
0,255,112,26849,1915,2121,2759,1835,1837,1845
0,255,114,26896,1905,2109,2761,1835,1839,1846
0,255,115,26896,1903,2121,2776,1835,1837,1845
0,255,116,26927,1913,2113,2748,1835,1838,1845
0,255,117,26927,1923,2116,2764,1834,1838,1844
0,255,118,26959,1920,2127,2762,1833,1835,1845
0,255,119,26990,1905,2119,2756,1834,1837,1846
0,255,120,27005,1906,2137,2749,1833,1837,1845
0,255,121,27021,1910,2122,2760,1834,1837,1846
0,255,122,27037,1895,2129,2765,1834,1836,1847
0,255,123,27083,1918,2142,2775,1833,1837,1847
0,255,124,27083,1901,2120,2723,1833,1838,1845
0,255,125,27115,1920,2106,2757,1834,1838,1845
0,255,126,27115,1909,2126,2751,1834,1838,1846
0,255,127,27146,1911,2119,2768,1833,1837,1846
0,255,128,27161,1906,2119,2780,1834,1837,1846
0,255,129,27193,1911,2126,2754,1834,1837,1845
0,255,131,27224,1911,2139,2753,1835,1837,1845
0,255,132,27239,1923,2115,2769,1834,1838,1845
0,255,133,27271,1909,2115,2761,1834,1837,1845
0,255,134,27271,1916,2145,2766,1835,1838,1845
0,255,135,27317,1930,2111,2770,1833,1838,1846
0,255,136,27317,1898,2123,2779,1834,1837,1845
0,255,137,27317,1889,2123,2766,1835,1838,1846
0,255,138,27349,1910,2142,2761,1835,1838,1847
0,255,139,27364,1906,2112,2757,1834,1838,1845
0,255,140,27395,1915,2137,2777,1834,1838,1844
0,255,141,27411,1920,2134,2756,1833,1837,1845
0,255,142,27427,1917,2118,2770,1834,1838,1845
0,255,143,27458,1920,2127,2743,1833,1839,1847
0,255,144,27458,1928,2116,2771,1833,1837,1844
0,255,145,27489,1923,2102,2756,1835,1837,1846
0,255,146,27489,1912,2087,2772,1833,1836,1845
0,255,147,27520,1898,2123,2766,1834,1837,1846
0,255,148,27551,1905,2117,2767,1835,1838,1844
0,255,149,27551,1921,2127,2774,1834,1837,1844
0,255,150,27583,1896,2123,2769,1834,1838,1845
0,255,151,27614,1907,2109,2767,1834,1839,1846
0,255,152,27629,1901,2122,2763,1834,1838,1846
0,255,153,27645,1920,2121,2763,1834,1839,1846
0,255,154,27661,1920,2124,2762,1833,1838,1846
0,255,155,27692,1911,2114,2755,1834,1837,1844
0,255,156,27692,1912,2117,2767,1835,1838,1846
0,255,157,27723,1910,2135,2767,1835,1838,1846
0,255,158,27723,1925,2104,2766,1833,1838,1845
0,255,159,27754,1904,2085,2772,1834,1839,1846
0,255,160,27801,1919,2124,2765,1834,1838,1845
0,255,161,27801,1914,2139,2761,1834,1839,1845
0,255,162,27832,1920,2098,2768,1834,1835,1845
0,255,163,27832,1914,2121,2765,1835,1837,1845
0,255,164,27863,1910,2119,2768,1836,1838,1846
0,255,165,27879,1904,2130,2779,1834,1837,1844
0,255,166,27895,1894,2134,2776,1831,1839,1845
0,255,167,27926,1900,2145,2768,1835,1838,1845
0,255,168,27926,1917,2133,2768,1834,1836,1845
0,255,169,27957,1904,2112,2764,1835,1839,1846
0,255,170,27957,1912,2131,2771,1834,1835,1844
0,255,171,27988,1920,2120,2762,1835,1837,1845
0,255,172,28019,1913,2108,2768,1836,1839,1846
0,255,173,28035,1910,2116,2776,1834,1837,1844
0,255,174,28051,1917,2130,2763,1833,1837,1845
0,255,175,28066,1914,2117,2745,1834,1839,1846
0,255,176,28082,1916,2116,2784,1833,1837,1845
0,255,177,28129,1910,2124,2749,1835,1838,1845
0,255,178,28129,1924,2119,2743,1831,1836,1844
0,255,179,28160,1918,2133,2767,1835,1838,1846
0,255,180,28191,1919,2131,2771,1836,1839,1845
0,255,181,28191,1907,2100,2763,1834,1837,1845
0,255,182,28222,1908,2138,2764,1834,1837,1846
0,255,183,28222,1908,2131,2765,1833,1837,1846
0,255,184,28253,1907,2118,2746,1834,1836,1844
0,255,185,28253,1926,2118,2768,1834,1837,1845
0,255,186,28285,1938,2115,2770,1834,1837,1845
0,255,187,28300,1899,2119,2754,1835,1836,1845
0,255,188,28331,1914,2122,2766,1836,1839,1845
0,255,189,28363,1893,2127,2766,1836,1839,1846
0,255,190,28363,1911,2132,2750,1835,1838,1846
0,255,191,28394,1906,2127,2775,1835,1838,1846
0,255,193,28425,1922,2130,2777,1835,1838,1845
0,255,194,28456,1907,2134,2766,1834,1838,1845
0,255,195,28456,1915,2123,2756,1835,1838,1845
0,255,196,28487,1905,2131,2759,1835,1838,1846
0,255,197,28503,1907,2131,2759,1834,1838,1845
0,255,198,28534,1915,2099,2749,1835,1839,1846
0,255,199,28534,1917,2118,2782,1833,1838,1847
0,255,200,28565,1916,2117,2769,1833,1836,1845
0,255,201,28565,1887,2122,2777,1835,1838,1845
0,255,202,28597,1914,2151,2759,1834,1837,1845
0,255,203,28628,1914,2109,2766,1835,1838,1847
0,255,204,28643,1908,2122,2777,1835,1837,1846
0,255,205,28675,1920,2116,2767,1835,1837,1846
0,255,206,28690,1927,2132,2759,1833,1837,1845
0,255,207,28690,1920,2126,2764,1833,1837,1846
0,255,208,28737,1916,2116,2760,1834,1838,1845
0,255,209,28753,1922,2115,2780,1834,1837,1845
0,255,210,28753,1907,2088,2765,1833,1837,1845
0,255,211,28784,1906,2114,2769,1834,1838,1846
0,255,212,28815,1901,2129,2763,1833,1838,1846
0,255,213,28815,1915,2136,2773,1834,1838,1844
0,255,214,28846,1912,2128,2771,1836,1838,1846
0,255,215,28846,1901,2144,2757,1835,1836,1847
0,255,216,28893,1912,2125,2743,1832,1836,1844
0,255,217,28893,1923,2108,2764,1835,1838,1846
0,255,218,28940,1901,2116,2746,1834,1837,1845
0,255,219,28940,1920,2127,2754,1834,1836,1845
0,255,220,28971,1902,2123,2763,1835,1838,1847
0,255,221,28971,1908,2123,2767,1834,1837,1845
0,255,222,28987,1913,2122,2749,1832,1837,1845
0,255,223,29018,1915,2137,2770,1834,1838,1847
0,255,224,29049,1915,2110,2791,1834,1838,1845
0,255,225,29049,1909,2111,2774,1835,1838,1845
0,255,226,29080,1915,2126,2766,1834,1838,1845
0,255,227,29096,1918,2105,2784,1835,1837,1845
0,255,228,29127,1914,2123,2767,1835,1837,1846
0,255,229,29127,1903,2108,2765,1834,1837,1845
0,255,230,29158,1898,2126,2782,1835,1838,1846
0,255,231,29174,1906,2119,2759,1834,1838,1846
0,255,232,29174,1922,2120,2748,1834,1838,1845
0,255,233,29205,1911,2122,2765,1835,1838,1845
0,255,234,29236,1909,2096,2775,1834,1837,1845
0,255,235,29236,1896,2122,2750,1835,1837,1845
0,255,236,29267,1932,2132,2766,1834,1839,1846
0,255,237,29283,1908,2128,2786,1833,1838,1844
0,255,238,29330,1924,2108,2782,1834,1838,1846
0,255,239,29330,1905,2101,2765,1834,1839,1846
0,255,240,29361,1915,2126,2782,1834,1839,1846
0,255,241,29361,1907,2141,2763,1834,1838,1845
0,255,242,29392,1916,2118,2774,1833,1837,1845
0,255,243,29392,1929,2122,2744,1834,1837,1846
0,255,244,29423,1910,2126,2771,1833,1838,1846
0,255,245,29423,1907,2136,2772,1834,1837,1845
0,255,246,29470,1906,2116,2766,1836,1839,1845
0,255,247,29501,1898,2118,2772,1834,1837,1846
0,255,248,29501,1915,2134,2771,1834,1838,1845
0,255,249,29533,1930,2128,2757,1835,1839,1846
0,255,250,29533,1901,2124,2784,1834,1837,1844
0,255,251,29564,1927,2126,2775,1835,1838,1845
0,255,252,29564,1911,2142,2764,1834,1839,1846
0,255,253,29595,1912,2121,2758,1835,1837,1845
0,255,254,29626,1908,2117,2777,1834,1838,1846
0,255,255,29642,1897,2127,2767,1834,1838,1847
0,255,0,29673,1914,2123,2753,1835,1837,1846
0,255,1,29689,1921,2115,2747,1835,1839,1845
0,255,2,29689,1906,2134,2762,1833,1837,1844
0,255,3,29735,1920,2126,2770,1834,1837,1847
0,255,4,29735,1919,2123,2743,1833,1839,1846
0,255,5,29751,1914,2134,2765,1833,1838,1845
0,255,6,29767,1914,2134,2755,1834,1838,1845
0,255,7,29813,1924,2114,2765,1835,1839,1847
0,255,8,29813,1906,2119,2771,1833,1838,1845
0,255,9,29829,1905,2125,2756,1835,1840,1845
0,255,10,29845,1890,2116,2763,1834,1838,1845
0,255,11,29876,1919,2131,2759,1835,1838,1846
0,255,12,29876,1924,2119,2759,1833,1838,1846
0,255,13,29907,1912,2120,2755,1834,1838,1845
0,255,14,29923,1922,2122,2768,1834,1837,1844
0,255,15,29954,1915,2121,2774,1835,1837,1846
0,255,16,29954,1905,2126,2773,1834,1838,1845
0,255,17,29985,1912,2125,2801,1834,1838,1846
0,255,18,30001,1914,2131,2783,1835,1839,1846
0,255,20,30063,1922,2128,2768,1833,1838,1846
0,255,21,30063,1908,2111,2764,1834,1839,1844
0,255,22,30094,1920,2082,2757,1833,1838,1845
0,255,23,30094,1909,2111,2765,1833,1837,1846
0,255,24,30141,1896,2126,2757,1833,1836,1844
0,255,25,30141,1900,2130,2762,1835,1839,1845
0,255,26,30172,1897,2121,2774,1834,1837,1846
0,255,27,30172,1900,2144,2778,1835,1835,1845
0,255,28,30203,1922,2124,2747,1834,1838,1846
0,255,29,30219,1907,2123,2755,1833,1837,1844
0,255,30,30250,1929,2104,2756,1833,1837,1845
